"id","time","gaikei_value","naikei_value","okuri_velocity","hiki_velocity","H1PV","H2PV","H3PV","H4-1PV","H4-2PV","H4-3PV","H4-4PV","H5PV","H6PV","H7PV","H1MV","H2MV","H3MV","H4-1MV","H4-2MV","H4-3MV","H4-4MV","H5MV","H6MV","H7MV","roshinkann_PV1","roshinkann_PV2","roshinkann_PV3","roshinkann_PV4","roshinkann_PV5","roshinkann_PV6","roshinkann_PV7","roshinkann_PV8","roshinkann_PV9","roshinkann_PV10"
37,"2022-02-14 10:09:10",1.801,0.0,0.0,0.0,742.9,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.1,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.4,744.1,791.7,841.1,894.4,892.5,890.4,891.7,835.6,786.2,745.5
38,"2022-02-14 10:09:11",1.801,0.0,0.0,0.0,742.9,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.1,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.4,744.1,791.7,841.1,894.4,892.4,890.4,891.7,835.6,786.2,745.5
39,"2022-02-14 10:09:12",1.801,0.0,0.0,0.0,742.8,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.1,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.4,744.0,791.7,841.1,894.4,892.4,890.4,891.7,835.6,786.2,745.5
40,"2022-02-14 10:09:13",1.801,0.0,0.0,0.0,742.8,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.1,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.3,744.0,791.7,841.1,894.4,892.4,890.4,891.7,835.6,786.2,745.5
41,"2022-02-14 10:09:14",1.801,0.0,0.0,0.0,742.8,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.1,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.3,744.0,791.7,841.1,894.4,892.4,890.4,891.7,835.6,786.2,745.5
42,"2022-02-14 10:09:15",1.801,0.0,0.0,0.0,742.9,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.1,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.3,744.0,791.7,841.1,894.4,892.4,890.4,891.7,835.6,786.2,745.5
43,"2022-02-14 10:09:16",1.801,0.0,0.0,0.0,742.9,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.1,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.3,744.0,791.7,841.1,894.4,892.4,890.4,891.7,835.6,786.2,745.5
44,"2022-02-14 10:09:17",1.801,0.0,0.0,0.0,742.9,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.1,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.3,744.0,791.7,841.1,894.4,892.4,890.4,891.7,835.6,786.2,745.6
45,"2022-02-14 10:09:18",1.801,0.0,0.0,0.0,742.9,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.2,26.8,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.3,744.0,791.7,841.1,894.4,892.4,890.4,891.7,835.6,786.2,745.6
46,"2022-02-14 10:09:19",1.801,0.0,0.0,0.0,742.8,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.4,725.2,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.4,31.3,744.0,791.7,841.1,894.4,892.4,890.3,891.7,835.6,786.2,745.6
